Geneid;MGIsymbol;logFC_group1-group2;logFC_group1-group3;logFC_group2-group1;logFC_group2-group3;logFC_group3-group1;logFC_group3-group2;padj_group1-group2;padj_group1-group3;padj_group2-group1;padj_group2-group3;padj_group3-group1;padj_group3-group2;P.value_group1-group2;P.value_group1-group3;P.value_group2-group1;P.value_group2-group3;P.value_group3-group1;P.value_group3-group2
ENSMUSG00000024087;Cyp1b1;-0,225168670218394;-0,175383996336644;0,225168670218394;0,04978467388175;0,175383996336644;-0,04978467388175;0,014087618376731;0,021675324477714;0,014087618376731;0,442539156133008;0,021675324477714;0,442539156133008;1,40876183767306E-05;2,16753244777144E-05;1,40876183767306E-05;0,000442539156133;2,16753244777144E-05;0,000442539156133
ENSMUSG00000067370;B3galt4;0,466343529927905;0,422148972190992;-0,466343529927906;-0,044194557736913;-0,422148972190993;0,044194557736913;0,019844498165559;0,018875922461975;0,019844498165559;0,7768400449318;0,018875922461975;0,7768400449318;1,98444981655592E-05;1,88759224619751E-05;1,98444981655593E-05;0,000776840044932;1,88759224619752E-05;0,000776840044932
ENSMUSG00000046145;1700018M17Rik;0,626072293648041;0,722412103137404;-0,626072293648041;0,096339809489363;-0,722412103137404;-0,096339809489363;0,002263947127788;0,000616356158694;0,002263947127788;0,325145946960826;0,000616356158694;0,325145946960826;2,26394712778756E-06;6,1635615869439E-07;2,26394712778756E-06;0,000325145946961;6,16356158694391E-07;0,000325145946961
ENSMUSG00000057337;Chst3;0,80115751937016;1,29677317695814;-0,801157519370161;0,495615657587984;-1,29677317695814;-0,495615657587984;0,003273950511051;0,000343274485213;0,003273950511051;0,01557815879668;0,000343274485213;0,01557815879668;3,27395051105117E-06;3,43274485213348E-07;3,27395051105117E-06;1,55781587966804E-05;3,43274485213347E-07;1,55781587966804E-05
ENSMUSG00000032705;Exd2;-0,235186498665122;-0,558110500365576;0,235186498665122;-0,322924001700454;0,558110500365576;0,322924001700454;0,260179862809063;0,021713037363451;0,260179862809063;0,142133076966569;0,021713037363451;0,142133076966569;0,000260179862809;2,17130373634505E-05;0,000260179862809;0,000142133076967;2,17130373634505E-05;0,000142133076967
ENSMUSG00000041040;Fam117b;0,235483502346051;0,036045167598546;-0,235483502346051;-0,199438334747505;-0,036045167598546;0,199438334747505;0,115774157344778;0,791832063777022;0,115774157344778;0,175157021557228;0,791832063777022;0,175157021557229;0,000115774157345;0,000791832063777;0,000115774157345;0,000175157021557;0,000791832063777;0,000175157021557
ENSMUSG00000025935;Tram1;-0,054771532593597;0,049074370025698;0,054771532593597;0,103845902619295;-0,049074370025698;-0,103845902619295;0,710154330827456;0,717667055399113;0,710154330827456;0,464900379907739;0,717667055399112;0,46490037990774;0,000710154330827;0,000717667055399;0,000710154330827;0,000464900379908;0,000717667055399;0,000464900379908
ENSMUSG00000034292;Traf3ip1;0,50595048472158;-0,607930389832035;-0,50595048472158;-1,11388087455361;0,607930389832035;1,11388087455361;0,05234513154841;0,021344435320639;0,05234513154841;0,00480290785406;0,021344435320639;0,004802907854061;5,23451315484098E-05;2,13444353206387E-05;5,23451315484098E-05;4,80290785406048E-06;2,13444353206387E-05;4,8029078540605E-06
ENSMUSG00000022019;Tdrd3;0,58941579512146;2,16661567453567;-0,58941579512146;1,57719987941421;-2,16661567453567;-1,57719987941421;0,5185073960288;0,032807958409598;0,518507396028801;0,111039293590541;0,032807958409598;0,111039293590541;0,000518507396029;3,28079584095976E-05;0,000518507396029;0,000111039293591;3,28079584095976E-05;0,000111039293591
ENSMUSG00000043639;Rbm20;-0,252609328898101;-0,093354257537743;0,252609328898101;0,159255071360357;0,093354257537743;-0,159255071360357;0,10523655037267;0,489391826474555;0,10523655037267;0,277733774244892;0,489391826474555;0,277733774244891;0,000105236550373;0,000489391826475;0,000105236550373;0,000277733774245;0,000489391826475;0,000277733774245
