Geneid,group1_1,group1_2,group1_3,group2_1,group2_2,group2_3,group3_1,group3_2,group3_3
ENSMUSG00000065593,6.09987674006544,6.06739298842965,6.02986481444088,6.28221411074005,6.3035076113498,6.35222033471875,6.19088026789109,6.14758520657548,6.2307960953829
ENSMUSG00000061032,-0.872237246516032,0.040215956705568,0.370272213297677,0.461518033645806,0.732672099166746,0.308726301627922,2.35655114521794,2.54294914977536,3.04330061088253
ENSMUSG00000024055,0.59119411417196,0.413363398072729,0.110924497244932,0.931984438264634,0.341270152031544,0.308726301627922,0.202838926910811,-0.470030930569645,0.454577930226024
ENSMUSG00000030206,5.61528525641506,5.74337575337188,5.71137815121753,5.15329506632703,5.21458084337348,5.32958861186971,4.93919631657219,4.95204965320802,4.88717648290593
ENSMUSG00000027840,-0.962438177244204,-0.162669848072881,-0.545931304142343,-1.05564603738798,-0.796117252962466,0.188434315933336,0.116671024199805,-1.50452012663231,-0.492451373445838
ENSMUSG00000079396,-2.45729652483279,-3.57371624476637,-2.3303851897267,-2.00688799072916,-2.75486042491209,-2.21952938047681,-0.072834033565653,-0.404419605266081,0.033147482179183
ENSMUSG00000031710,7.05908569585527,6.96771804529954,6.97881106117045,6.98267787205589,6.9934373243807,6.95236452528298,6.981525922855,7.03587941262538,6.98829327510611
ENSMUSG00000071103,-3.10945617880466,-3.08669307669406,-2.56961924971268,-4.33007243011813,-3.11719409576154,-3.11248635217256,-3.09995199846964,-2.43836924959811,-3.05075729639468
ENSMUSG00000028194,4.98050531150559,4.87063904201067,4.83365970136334,4.95920769813414,5.12763747118237,5.03335169863214,4.79752823294441,4.78280793544407,4.90400156917504
ENSMUSG00000020790,5.09534231356396,4.98105546120567,5.14368909700232,4.9091035600741,4.85820782462681,4.92301872522675,4.54878771276721,4.26281159910821,4.34512758407853
ENSMUSG00000042962,5.65279745460041,5.56986910701368,5.55140984999713,6.17962164171666,6.08666398728363,6.23691325755057,5.93014965329783,6.05732090319158,5.85684040572627
ENSMUSG00000048668,0.014128182023924,-0.398830638863587,-0.751946228374518,-2.00688799072916,-1.67729350375281,-2.21952938047681,-2.73698076036297,-0.852058282554858,-1.94600129811173
ENSMUSG00000026395,2.48855377351961,2.19198143680053,2.44757462940492,1.48738690565829,1.98730709460319,2.19363092448841,2.55798603108967,2.23856857048569,2.1113885472846
ENSMUSG00000022537,7.13071118464545,6.9885571753929,7.05890543907402,6.69732874525505,6.72297028245854,6.75914221394873,6.32180988342143,6.3806321200479,6.27738152000888
ENSMUSG00000028494,7.67201441983355,7.5756266174445,7.66491265060785,7.10629921485067,7.14903094297738,7.14613939003117,7.14417433755208,7.17148505205988,7.11292070095397
ENSMUSG00000020280,6.53643009018205,7.0632186999339,7.02531454599314,6.45694940861237,6.38755477882961,6.50483568247691,6.2362824644103,6.24024626961057,6.00534144515554
ENSMUSG00000024936,3.28063099345467,3.52985467255896,3.53508540419684,3.45503466753545,3.6761672173586,3.60931493651478,2.95555717660368,2.91474348517947,2.88959303089659
ENSMUSG00000062115,3.22552125172993,3.54660650609662,3.45740725900015,3.08934116668239,3.07158090211801,3.12700933604732,2.77042358679008,2.47484160729428,2.77719667786531
ENSMUSG00000033031,6.00711549278699,5.96284720057192,6.11896264718307,6.1002058043472,6.15820026241697,6.1321106085089,5.99573814841365,6.11369471333095,6.22142998232021
ENSMUSG00000019883,7.43752847645973,7.38329085985168,7.47914866083815,6.81296569029399,6.96901613850361,6.83372554764928,6.86948852397855,6.73925573551098,6.71556043117838
ENSMUSG00000078676,7.36201150949483,7.29061833883638,7.33429434619504,7.69721379362726,7.63268857782452,7.69217450755542,7.62136232590497,7.64107377138994,7.5756892765974
ENSMUSG00000067150,-3.59497426461621,-5.91818058697846,-3.21512569004097,-4.33007243011813,-2.01822586779079,-2.21952938047681,-1.81878243161033,-3.57830319347518,-2.3951192394325
ENSMUSG00000022892,1.84496089474315,1.32891678176902,1.66734910969352,2.74830180141367,2.04596008047187,3.02532952796091,2.7347107165762,3.07859175534844,3.13736790473009
ENSMUSG00000041775,4.84911659100982,4.13643188943032,4.36780245548698,5.22672394605412,4.69185904717161,4.88643246321081,5.3618642265223,5.50882255718319,5.44567960783092
ENSMUSG00000004936,3.89879854413356,3.83952309027756,3.94676859262195,4.37539763951307,4.43084449279964,4.471126791791,4.0817489920371,4.01259084845769,3.92472173383627
ENSMUSG00000034424,6.78493984735112,6.81707438092621,6.87209751243627,6.62545094021451,6.81142396661874,6.75694097039528,6.62368178577023,6.61423990681474,6.82252749563396
